model,train_setting,noise_type,norm_stage,macro_f1,accuracy,source_file,macro_precision,macro_recall,weighted_precision,weighted_recall,weighted_f1,clean_precision,clean_recall,clean_f1,clean_support,offensive_precision,offensive_recall,offensive_f1,offensive_support,hate_precision,hate_recall,hate_f1,hate_support,train_setting_clean
XLM-R,original,slang_teencode,before_norm,0.4632742865366297,0.6163173652694611,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,slang_teencode,before_norm,0.4634935015188268,0.6164670658682635,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,mixed_noise,before_norm,0.1827297391864768,0.2461077844311377,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,original,mixed_noise,before_norm,0.2350017748742972,0.2552395209580838,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
XLM-R,augmented_mixed,clean,before_norm,0.4965927723599574,0.6699101796407185,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,clean,before_norm,0.4821189997360897,0.6429640718562875,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,no_accent,before_norm,0.3537775591219305,0.4464071856287425,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,no_accent,before_norm,0.3183280126652401,0.3854790419161676,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,repeated_char,before_norm,0.4058077646214736,0.517065868263473,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,repeated_char,before_norm,0.4812053817767291,0.6417664670658683,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
XLM-R,augmented_mixed,special_char,before_norm,0.4214742371610339,0.5068862275449102,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
